"route_id","wtdinc"
"05192014download:1",24638.8605348953
"05192014download:10",48876.7535652138
"05192014download:100",40810.6749328298
"05192014download:101",31992.6580870454
"05192014download:102",55356.600495486
"05192014download:103",49188.8384073664
"05192014download:11",21938.1579297835
"05192014download:12",63036.8143291166
"05192014download:13",52872.674475026
"05192014download:14",36691.5367574455
"05192014download:15",57993.4108488249
"05192014download:16",66884.8226413005
"05192014download:17",46848.3737705771
"05192014download:18",36782.8182284739
"05192014download:19",53979.1802275224
"05192014download:2",32318.7595012213
"05192014download:20",54714.4508839558
"05192014download:21",60472.1998994376
"05192014download:22",44507.744222745
"05192014download:23",60697.4774380721
"05192014download:24",34697.8331599874
"05192014download:25",38052.5475222987
"05192014download:26",25185.2603643648
"05192014download:27",40886.1644043215
"05192014download:28",41518.2095263038
"05192014download:29",65381.790885577
"05192014download:3",50142.7512687248
"05192014download:30",35324.8582712103
"05192014download:31",39470.9551620789
"05192014download:32",38406.4538482429
"05192014download:33",69377.9003758679
"05192014download:34",36438.0052595613
"05192014download:35",50356.6832785403
"05192014download:36",46748.9814143209
"05192014download:37",36595.7506417723
"05192014download:38",97165.8140051831
"05192014download:39",54230.8809139626
"05192014download:4",40699.6892166505
"05192014download:40",31750.1017141211
"05192014download:41",41232.3468584072
"05192014download:42",48366.6262063432
"05192014download:43",69898.2726284443
"05192014download:44",41361.353101702
"05192014download:45",31855.4077843922
"05192014download:46",34755.2388414198
"05192014download:47",51324.8873120566
"05192014download:48",37297.8268762691
"05192014download:49",44741.8057447651
"05192014download:5",74727.1059195743
"05192014download:50",34275.2758198059
"05192014download:51",34810.0775474681
"05192014download:52",37780.0247845098
"05192014download:53",37024.2383787464
"05192014download:54",36517.3416290709
"05192014download:55",39145.973045613
"05192014download:56",40874.158428832
"05192014download:57",45696.4539001479
"05192014download:58",50372.9780592161
"05192014download:59",48721.3381599017
"05192014download:6",39640.1555590123
"05192014download:60",59868.8504538981
"05192014download:61",36959.4334043194
"05192014download:62",51887.2331634193
"05192014download:63",44217.6750066386
"05192014download:64",41806.1907258478
"05192014download:65",61497.6382777707
"05192014download:66",53137.0386589981
"05192014download:67",49062.1967135397
"05192014download:68",63093.2985090188
"05192014download:69",60343.2007185804
"05192014download:7",39150.8013087426
"05192014download:70",43350.3128987493
"05192014download:71",59662.0193768779
"05192014download:72",82447.9837741161
"05192014download:73",45903.791546587
"05192014download:74",40148.6768868247
"05192014download:75",36081.7452501151
"05192014download:76",31601.492670264
"05192014download:77",53045.6901676652
"05192014download:78",20817.2791085585
"05192014download:79",33603.6357704195
"05192014download:8",34286.5707966083
"05192014download:80",33106.2917605118
"05192014download:81",34541.0429533283
"05192014download:82",27890.1402389889
"05192014download:83",27957.5588666791
"05192014download:84",38120.5776579535
"05192014download:85",37902.9908585833
"05192014download:86",34890.4861608883
"05192014download:87",32796.9448918106
"05192014download:88",59188.1182413099
"05192014download:89",34721.0735749563
"05192014download:9",47999.4220997017
"05192014download:90",34314.2779838678
"05192014download:91",37768.6557889599
"05192014download:92",34169.6974069801
"05192014download:93",37584.992888743
"05192014download:95",50793.3652064079
"05192014download:96",36115.0643648424
"05192014download:97",68095.8555217731
"05192014download:98",33156.7983256404
"05192014download:99",44767.9156806471
